tailid;url;language
21304;http://www.jordskifte.no/;nb
21306;http://www.domstol.no/en/Enkelt-domstol/The-land-consolidation-court-of-Norway/;en
21306;http://www.jordskifte.no/;nb
21307;http://www.domstol.no/en/Enkelt-domstol/The-land-consolidation-court-of-Norway/;en
21307;http://www.jordskifte.no/;nb
21308;http://www.domstol.no/en/Enkelt-domstol/The-land-consolidation-court-of-Norway/;en
21308;http://www.jordskifte.no/;nb
21310;http://www.domstol.no/DAtemplates/Article____3929.aspx?epslanguage=NO&otherlanguage=true;en
21310;http://www.jordskifte.no;nb
21319;http://www.stolav.no;nb
21319;http://www.stolav.no/templates/StandardMaster____86258.aspx;en
21323;http://www.hnt.no/;nb
21326;http://www.hnt.no;nb
21327;http://www.domstol.no/Jordskifte-enkelt-domstol/Salten-jordskifterett/;nb
21327;http://www.domstol.no/en/Enkelt-domstol/The-land-consolidation-court-of-Norway/;en
21330;http://www.domstol.no/en/Enkelt-domstol/The-land-consolidation-court-of-Norway/;en
21330;http://www.jordskifte.no/;nb
21341;http://www.unn.no;nb
21344;http://www.domstol.no/Enkelt-domstol/Jordskiftedomstolene/Om-jordskiftedomstolene/Jordskifterettenes-informasjonssider/Nord-Trondelag-jordskifterett/;nb
21344;http://www.domstol.no/en/Enkelt-domstol/The-land-consolidation-court-of-Norway/;en
21348;http://www.domstol.no/en/Enkelt-domstol/The-land-consolidation-court-of-Norway/;en
21348;http://www.jordskifte.no/;nb
21351;http://www.helse-finnmark.no/;nb
21354;http://www.domstol.no/DAtemplates/Article____3929.aspx?epslanguage=NO&otherlanguage=true;en
21354;http://www.jordskifte.no/;nb
21359;http://www.domstol.no/Jordskifte-enkelt-domstol/Nordfjord-jordskifterett/;nb
21359;http://www.domstol.no/en/Enkelt-domstol/The-land-consolidation-court-of-Norway/;en
21363;http://www.domstol.no/Enkelt-domstol/The-land-consolidation-court-of-Norway/Om-jordskiftedomstolene/Jordskifterettenes-informasjonssider/Romsdal-jordskifterett/;nb
21363;http://www.domstol.no/en/Enkelt-domstol/The-land-consolidation-court-of-Norway/;en
21366;http://www.helse-fonna.no;nb
21371;http://www.helse-fonna.no;nb
21374;http://www.helse-bergen.no;nb
21374;http://www.helse-bergen.no/english/Sider/side.aspx;en
21375;http://www.domstol.no/en/Enkelt-domstol/The-land-consolidation-court-of-Norway/;en
21375;http://www.jordskifte.no/;nb
21376;http://www.helse-forde.no/;nb
21382;http://www.helse-sunnmore.no;nb
21385;http://www.domstol.no/Enkelt-domstol/Jordskiftedomstolene/Om-jordskiftedomstolene/Jordskifterettenes-informasjonssider/Sunnfjord-og-Ytre-Sogn-jordskifterett/;nb
21385;http://www.domstol.no/en/Enkelt-domstol/The-land-consolidation-court-of-Norway/;en
21410;http://www.domstol.no/en/Enkelt-domstol/The-land-consolidation-court-of-Norway/;en
21410;http://www.jordskifte.no/;nb
21414;http://www.domstol.no/en/Enkelt-domstol/The-land-consolidation-court-of-Norway/;en
21414;http://www.jordskifte.no/;nb
21417;http://www.domstol.no/en/Enkelt-domstol/The-land-consolidation-court-of-Norway/;en
21417;http://www.jordskifte.no/;nb
21418;http://www.helse-stavanger.no;nb
21421;http://www.helse-bergen.no;nb
21422;http://www.domstol.no/en/Enkelt-domstol/The-land-consolidation-court-of-Norway/;en
21422;http://www.jordskifte.no/;nb
21423;http://www.siv.no/;nb
